,Rank,Name,Total,Singles,Doubles
0,1,"Alcaraz, Carlos","15,631,652","15,631,652",0
1,2,"Sinner, Jannik","11,541,298","11,535,053","6,245"
2,3,"Djokovic, Novak","4,673,063","4,660,133","12,930"
3,4,"Zverev, Alexander","4,479,458","4,428,872","50,586"
4,5,"Fritz, Taylor","4,324,927","4,305,735","19,192"
5,6,"Shelton, Ben","4,132,407","4,012,163","120,244"
6,7,"de Minaur, Alex","3,750,927","3,710,058","40,869"
7,8,"Musetti, Lorenzo","3,479,972","3,310,358","169,614"
8,9,"Draper, Jack","3,446,994","3,421,704","25,290"
9,10,"Auger-Aliassime, Felix","3,133,375","3,109,246","24,129"
10,11,"Rublev, Andrey","2,891,976","2,842,205","49,771"
11,12,"Ruud, Casper","2,876,174","2,857,124","19,050"
12,13,"Rune, Holger","2,686,814","2,680,569","6,245"
13,14,"Khachanov, Karen","2,630,153","2,568,638","61,515"
14,15,"Mensik, Jakub","2,538,728","2,464,577","74,151"
15,16,"Cobolli, Flavio","2,473,884","2,387,342","86,542"
16,17,"Lehecka, Jiri","2,456,993","2,369,096","87,897"
17,18,"Bublik, Alexander","2,300,889","2,256,365","44,524"
18,19,"Paul, Tommy","2,282,871","2,265,471","17,400"
19,20,"Machac, Tomas","2,203,385","2,030,847","172,538"
20,21,"Davidovich Fokina, Alejandro","2,189,208","2,157,109","32,099"
21,22,"Tsitsipas, Stefanos","2,060,710","2,026,842","33,868"
22,23,"Cerundolo, Francisco","1,993,895","1,939,113","54,782"
23,24,"Medvedev, Daniil","1,919,330","1,913,085","6,245"
24,25,"Tiafoe, Frances","1,858,078","1,817,909","40,169"
25,26,"Shapovalov, Denis","1,813,464","1,789,335","24,129"
26,27,"Norrie, Cameron","1,690,407","1,664,428","25,979"
27,28,"Munar, Jaume","1,628,423","1,488,804","139,619"
28,29,"Sonego, Lorenzo","1,599,680","1,406,390","193,290"
29,30,"Nakashima, Brandon","1,599,606","1,542,501","57,105"
30,31,"Griekspoor, Tallon","1,588,955","1,509,960","78,995"
31,32,"Popyrin, Alexei","1,578,435","1,446,161","132,274"
32,33,"Darderi, Luciano","1,506,196","1,423,800","82,396"
33,34,"Borges, Nuno","1,470,200","1,314,395","155,805"
34,35,"Fils, Arthur","1,437,645","1,392,485","45,160"
35,36,"Michelsen, Alex","1,398,235","1,303,261","94,974"
36,37,"Cash, Julian","1,356,093",0,"1,356,093"
37,38,"Glasspool, Lloyd","1,345,257",0,"1,345,257"
38,39,"Dimitrov, Grigor","1,342,888","1,333,363","9,525"
39,40,"Baez, Sebastian","1,339,612","1,274,673","64,939"
40,41,"Humbert, Ugo","1,338,752","1,327,034","11,718"
41,42,"Rinderknech, Arthur","1,317,697","1,267,141","50,556"
42,43,"Muller, Alexandre","1,310,807","1,229,135","81,672"
43,44,"Etcheverry, Tomas Martin","1,308,797","1,206,102","102,695"
44,45,"Zeballos, Horacio","1,306,774",0,"1,306,774"
